Generic Product Name,Manufacturer Address
Компоненты транспортных средств:,"ЯПОНИЯ, 6-6 Minatojima Minamimachi 4-chome, Chuo-Ku, Kobe, 650-0047"
"Изделия кожгалантерейные для взрослых: Сундуки дорожные, чемоданы, чемоданчики для косметических средств или наборов для личной гигиены, кейсы для деловых бумаг, портфели, школьные сумки и ранцы, сумки дорожные, сумочки для косметических средств или наборов для личной гигиены, рюкзаки, сумки дамские и мужские, сумки хозяйственные, портмоне, кошельки, сумки спортивные, из натуральной или композиционной кожи, искусственной кожи, эко кожи, из листов пластмассы, текстильных материалов, вулканизованных волокон или картона или полностью или преимущественно покрытые такими материалами или бумагой марка Marant.","Китай, 46, Северная улица Чанмей, деревня Чанхун, район Байюнь, город Гуанчжоу, провинция Гуандун, 23°15'33.0""N, 113°17'52"
Лифт электрический пассажирский,"212798, БЕЛАРУСЬ, Могилев, г. Могилев, проспект Мира, 42"
"Отпугиватель собак, с маркировкой: IBIS","Китай, Factory building 1 (3#) 402, 26, Hongji Street, Longxin Community, Baolong Street, Longgang District, Shenzhen City, координаты ГЛОНАСС: 22.714010, 114.241857."
Оборудование световое общего назначения: гирлянды светодиодные,"Китай, Suite 5B, 76 Congyun Road, Baiyun District , Guagzhou, 23.210716°, 113.295953°"
Продукция косметическая (в наборах и отдельными предметами),"Испания, 08020, Via Trajana, 45, Barcelona"
"ПОЛОТНА ДЛЯ ЦИРКУЛЯРНЫХ ПИЛ (ПИЛЬНЫЕ ДИСКИ), С РАБОЧЕЙ ЧАСТЬЮ ИЗ СТАЛИ, ДЛЯ РЕЗКИ ЗАГОТОВОК, МАРОК: Freud, Leitz, Italprom","ИТАЛИЯ, VIA CORTEMILIA, 106 12055 FRAZ. RICCA, DIANO D'ALBA"
Лифт электрический пассажирский,"212798, БЕЛАРУСЬ, Могилев, г. Могилев, проспект Мира, 42"
"Лифт пассажирский гидравлический, модель (индекс) HYDRAULIC","61100, ГРЕЦИЯ, Kilkis, Kilkis Industrial Area"
Ароматизатор пищевой,"Соединенное Королевство Великобритании и Северной Ирландии, Astmoor Road, Runcorn, Cheshire, WA7 1PJ, United Kingdom"
продукция косметическая (в наборах и отдельными предметами),"Испания, 08020, Via Trajana, 45, Barcelona"
"СМЕННЫЙ РАБОЧИЙ ИНСТРУМЕНТ ДЛЯ ФРЕЗЕРОВАНИЯ: ФРЕЗА, С РАБОЧИЙ ЧАСТЬЮ ИЗ СТАЛИ, ДЛЯ ФРЕЗЕРОВАЛЬНОГО ДЕРЕВООБРАБАТЫВАЮЩЕГО ОБОРУДОВАНИЯ, МАРКИ: Italprom","ИТАЛИЯ, Via della Metallurgia, 4, 37139 Verona VR"
"Обувь летняя для взрослых цельнолитая с верхом и подошвой из этиленвинилацетата: шлепки мужские, артикул FA-039M, шлепки женские, артикул FA-039W","КИТАЙ, No.406 4th Floor Tianfu Innovation Center South of Tianfu Avenue Chengdu"
"Изделия кожгалантерейные для взрослых с лицевой поверхностью из натуральной кожи и искусственной кожи, натуральной и искусственной замши, экокожи, текстильных и полимерных материалов, в том числе с элементами металла, в комплектах и отдельными предметами: сумки женские, мужские, сумки повседневные, дорожные, хозяйственные, спортивные, пляжные, сумки, в том числе для косметических средств (косметички), в том числе для продуктов, сумки на пояс, сумки для хранения одежды, рюкзаки, портфели, футляры (пеналы), дорожные несессеры, чемоданы, футляры (чехлы), в том числе для телефонов, ноутбуков, для очков, для наушников, планшетов, для фотоаппаратов, для электронных книг, сумки для телефонов, сумки для косметических средств (""косметички-чемоданчики""), кейсы , сумки типа ""барсетка"", ""кредитницы"", ""визитницы"", ""ключницы"", кошельки, сумки типа ""клатч"", ""барсетка""; чемоданы- дипломаты, чемоданы-гардеробы; портпледы; портфели; папки, в том числе папки деловые, папки бюварные, папки адресные, рюкзак городской, рюкзак для ноутбука, чехлы для чемоданов, сумки плетеные, сумки плетеные из джута соломы, портмоне, сумка через плечо, рюкзак крор, пенал из текстиля, сумка-авоська, сумка-шоппер, сумка вязанная, сумка- органайзер для нижнего белья, сумка-органайзер для коляски, саквояжи","Китай, No. 101, Huizuo Rd., Xinyang Ind. Zone, Xiamen, Fujian, China, 24.662857, 118.124777"
"Изделия швейные для взрослых из синтетических, натуральных, смешанных тканей","Китай, 1 East Ring Road, Mayu, Hebei, Jinju, Shijiazhuang, Hebei province, 29.857088, 121.589681"
Лифт электрический пассажирский,"212798, БЕЛАРУСЬ, Могилев, г. Могилев, проспект Мира, 42"
"ОБОРУДОВАНИЕ ДЛЯ ПОДЪЕМА И ПЕРЕМЕЩЕНИЯ ГРУЗА НА СКЛАДАХ, КЛЕЩЕВОЙ ПРОМЫШЛЕННЫЙ ЗАХВАТ, МАРКИ: Compacfoam","АВСТРИЯ, Mader, Zollweg 1, 6841"
"Одежда верхняя швейная (3-го слоя) для детей старше 1-го года и подростков из смешанной ткани: костюмы, ветровки, куртки, пуховики, комбинезоны,","Турция, KAZIM KARABEKIR MAH. 3 KONAK, SOK. NO:2 INTERIOR DOOR NO: 1 YILDIRIM / BURSA, 40.199855°, 29.096550°"
"ГАЗОНОКОСИЛКА (РАЙДЕР) ПЕРЕДВИЖНАЯ, САМОХОДНАЯ, МОТОРНАЯ, С РЕЖУЩЕЙ ЧАСТЬЮ, ВРАЩАЮЩЕЙСЯ В ГОРИЗОНТАЛЬНОЙ ПЛОСКОСТИ, С СИДЕНИЕМ, СО ВСТРОЕННЫМ ЧЕТЫРЕХТАКТНЫМ ОДНОЦИЛИНДРОВЫМ БЕНЗИНОВЫМ ДВС МОЩНОСТЬЮ 9,7 КВТ, МАРКИ: Husqvarna","ПОЛЬША, Oddzial W Mielcu, ul. COP-u 6, PL-39-300 Mielec, Poland"
"Оборудование световое: Фонарь портативный ручной светодиодный ультрафиолетовый аккумуляторный, работающий от собственного источника, лазерная указка, кемпинговый фонарь, налобный фонарь, фонарь для велосипеда. Марки: A&L Happy Basket","Китай, No. 15 Yingbin Avenue, Qingxi Industrial Zone, Yongkang City, 29.087644°, 120.062490°"
Диагностические препараты для ветеринарии,"ФРАНЦИЯ, 11-13 rue des Aulnes 69760 Limonest"
Продукция косметическая,"Испания, 08020, Via Trajana, 45, Barcelona"
Лифт электрический пассажирский,"212798, БЕЛАРУСЬ, Могилев, г. Могилев, проспект Мира, 42"
"Изделия трикотажные верхние второго слоя для взрослых из хлопчатобумажной, льняной, шерстяной, полушерстяной, шелковой пряжи, синтетической, искусственной пряжи, из смеси синтетической и искусственной пряжи, акрила, хлопчатобумажной и синтетической пряжи (нитей), из смеси синтетических и шерстяных нитей (пряжи), из синтетических и искусственных нитей, в комплектах и отдельными предметами, в том числе на подкладке, с принтами, со стразами и шевронами, блузы, в том числе модель «топ», «боди», «кроп-топ», «рубашка», накидки, платья, в том числе модель «туника», «лапша», сарафаны, кардиганы, кофты, комбинезоны, свитеры, в том числе модель «свитшот», «худи», «водолазка», «лонгслив», толстовки, пуловеры, жакеты, пиджаки, в том числе модель «болеро», джемперы, модель «толстовка», жилеты, брюки, шорты, юбки, спортивные штаны в том числе модель «велосипедки», «лосины», «леггинсы», «джеггинсы», «джоггеры», «тайтсы», «кюлоты», «палаццо», шорты, спортивные костюмы, фитнес костюмы. Марка: DamEll.Cloth, Elly_shop, Darina_Cloth","КИТАЙ, 203, No. 5, Xijibei Street, Tangxi Xianggang, Nanjing Street, Baiyun District, Guangzhou, Guangdong, China."
"Одежда 2 слоя для женщин и мужчин: спортивные костюмы двойки и тройки, в том числе брюки спортивные, в том числе утепленные (не предназначенные для экипировки спортивных команд), костюмы «классические», костюм домашний, рубашки, платья, платья-футболки, платья мини, платья миди, платья макси, платья-рубашки, пиджаки, брюки, брюки (в том числе утепленные) «легинсы» и «лосины», брюки с нагрудниками и лямками, штаны, шорты, велосипедки, бриджи, джемперы, в том числе модели, «толстовка», «свитшот», «бомбер», «кардиган», «худи», свитеры, в том числе модель «водолазка», манишки, пуловеры, олимпийки, кофты, пончо, накидка пляжная, туника пляжная, накидки, подъюбники, юбки, жакеты, жилеты, блузки, блузы, блузы типа ""топ"", туники, платье-туника, блузки-топ, ""блузки-боди"", ""блузон"", жакеты модели ""болеро"", блейзер, полукомбинезон-рубашка, сарафаны, халаты, фартуки, комбинезоны, комбинезоны тип «кигуруми», юбка-шорты, джинсовые юбки, юбки карго, шорты джинсовые, джоггеры, джеггинсы, кюлоты, брюки-карго, брюки палаццо, брюки джинсовые, рубашки джинсовые, прочее из денима, сорочки верхние « поло». В том числе модели унисекс в комплектах и отдельными предметами, в том числе с нанесением принта.
Торговая марка: Lablee collection.","Китай, Bao'an District, Shenzhen, 102, Next to Building A, Wenle Industrial Zone, Longzhu Community, Xixiang Road, Bao'an District, Shenzhen, Guangdong."
"ЭЛЕКТРОДВИГАТЕЛЬ, АСИНХРОННЫЙ, ТРЕХФАЗНЫЙ, ПЕРЕМЕННОГО ТОКА, МОЩНОСТЬ 825 ВТ, ДЛЯ ПРОМЫШЛЕННОГО ОБОРУДОВАНИЯ, НАПРЯЖЕНИЕ 220В, МАРКИ: Jessberger","ГЕРМАНИЯ, Breitackerstrasse 9, 96049 Bamberg"
Стол операционный ОМ-30 с приспособлениями съемными,"БЕЛАРУСЬ, 220024, г. Минск, ул. Бабушкина, дом 22-3"
Стол операционный ОК-10 с принадлежностями,"БЕЛАРУСЬ, 220024, г. Минск, ул. Бабушкина, дом 22-3"
"ПРЕОБРАЗОВАТЕЛИ СТАТИЧЕСКИЕ, ИСПОЛЬЗУЕМЫЕ С ВЫЧИСЛИТЕЛЬНЫМИ МАШИНАМИ И ИХ БЛОКАМИ: БЛОК ПИТАНИЯ (МОДУЛЬ ПИТАНИЯ), ПРЕДСТАВЛЯЕТ СОБОЙ ПРЕОБРАЗОВАТЕЛЬ ПЕРЕМЕННОГО ЭЛЕКТРИЧЕСКОГО ТОКА НАПРЯЖЕНИЕМ 220 В ЧАСТОТОЙ 47-63ГЦ В ПОСТОЯННЫЙ ЭЛЕКТРИЧЕСКИЙ ТОК НАПРЯЖЕНИЕМ 12В ПОСТОЯННОГО ТОКА, НЕ БЫТОВОГО НАЗНАЧЕНИЯ ДЛЯ ПРОМЫШЛЕННОГО ПРИМЕНЕНИЯ, МАРКИ: APC","КИТАЙ, No. 05, Yinhe Street, Hongkang Road, Baigou New City, Baoding, Hebei"
Лифт электрический пассажирский,"212798, БЕЛАРУСЬ, Могилев, г. Могилев, проспект Мира, 42"
продукция косметическая (в наборах и отдельными предметами),"Испания, 08020, Via Trajana, 45, Barcelona"
"Обувь повседневная мужская и женская с верхом из кожи, нубука, замши, с вставками из текстиля, в том числе комбинированная - кроссовки, кеды,","Китай, Wan fu floor .Wan he industrial areas 1st Jidong Xiaolan Town Zhongshan City Guangdong province, 22.672256, 113.250553"
Арматура смесительная санитарно-техническая водоразборная:,"КИТАЙ, NO:328-329, Hetianxia Park, Yiwu 322000, Zhejiang, China"
"Изделия трикотажные второго слоя мужские и женские из хлопчатобумажной, смешанной, шерстяной, полушерстяной, льняной, полульняной, шелковой пряжи, из пряжи из синтетических и искусственных волокон и нитей, в том числе с вложением хлопковых, синтетических и искусственных волокон, в том числе с вложением эластомерной нити, в комплектах и отдельными предметами","КИТАЙ, RUIAN ANYYANGSHEN CAIZHAI DONG XIN RU ONE HUANDRED AND EIGHTY-EIGHT"
"Одежда 2 слоя для женщин и мужчин: спортивные костюмы двойки и тройки, в том числе брюки спортивные, в том числе утепленные (не предназначенные для экипировки спортивных команд), костюмы «классические», костюм домашний, рубашки, платья, платья-футболки, платья мини, платья миди, платья макси, платья-рубашки, пиджаки, брюки, брюки (в том числе утепленные) «легинсы» и «лосины», брюки с нагрудниками и лямками, штаны, шорты, велосипедки, бриджи, джемперы, в том числе модели, «толстовка», «свитшот», «бомбер», «кардиган», «худи», свитеры, в том числе модель «водолазка», манишки, пуловеры, олимпийки, кофты, пончо, накидка пляжная, туника пляжная, накидки, подъюбники, юбки, жакеты, жилеты, блузки, блузы, блузы типа ""топ"", туники, платье-туника, блузки-топ, ""блузки-боди"", ""блузон"", жакеты модели ""болеро"", блейзер, полукомбинезон-рубашка, сарафаны, халаты, фартуки, комбинезоны, комбинезоны тип «кигуруми», юбка-шорты, джинсовые юбки, юбки карго, шорты джинсовые, джоггеры, джеггинсы, кюлоты, брюки-карго, брюки палаццо, брюки джинсовые, рубашки джинсовые, прочее из денима, сорочки верхние « поло». В том числе модели унисекс в комплектах и отдельными предметами, в том числе с нанесением принта.
Торговая марка: Lablee collection.","Китай, Bao'an District, Shenzhen, 102, Next to Building A, Wenle Industrial Zone, Longzhu Community, Xixiang Road, Bao'an District, Shenzhen, Guangdong."
"Одежда швейная второго слоя мужская и женская из хлопчатобумажной, смешанной, шерстяной, полушерстяной, льняной, полульняной, шелковой ткани, из пряжи из синтетических и искусственных волокон и нитей, в том числе с вложением хлопковых, синтетических и искусственных волокон, в том числе с вложением эластомерной нити, в комплектах и отдельными предметами:","КИТАЙ, RUIAN ANYYANGSHEN CAIZHAI DONG XIN RU ONE HUANDRED AND EIGHTY-EIGHT"
Лифт электрический пассажирский,"212798, БЕЛАРУСЬ, Могилев, г. Могилев, проспект Мира, 42"
"УТЮГ ЭЛЕКТРИЧЕСКИЙ, НЕ БЫТОВОЙ, НАПРЯЖЕНИЕ 220В, ДЛЯ ОБРАБОТКИ ЛЫЖ, МАРКИ: REX","ФИНЛЯНДИЯ, Hiomotie 13, Fi-00380 Helsinki"
"Компоненты, поставляемые в качестве сменных (запасных) частей для транспортных средств:","Китай, No.10 Mingri Road,Liyu Industrial Park,Zhuzhou,Hunan, China zip code: 421000, 27.827138, 113.072959"
"Оборудование химическое, нефтегазоперерабатывающее: Реактор, модели: TANK-10L, TANK-20L, TANK-30L, TANK-50L, TANK-100L, TANK-200L, TANK-250L, TANK-500L, TANK-1500L; Stationary CIP/SIP station, модель CIP/SIP-50L, CIP/SIP-80L.","Китай, No. 1509, Duhui Road, Minhang District, Shanghai China"
"Изделия верхние трикотажные второго слоя для женщин из хлопчатобумажной пряжи, из хлопчатобумажной пряжи в сочетании с синтетическими волокнами и нитями, из пряжи из синтетических волокон и нитей, из пряжи из искусственных волокон и нитей, из пряжи из смеси хлопковых, синтетических и искусственных волокон и нитей:","Китай, ROOM B1101, #1 BUILDING, JIUZHOU INT'L SQUARE, YANGSHE TOWN, ZHANGJIAGANG CITY, JIANGSU, CHINA, 31.863295, 120.515774"
"Кондитерские изделия из сахара (включая белый шоколад), не содержащие какао с начинкой и без:","Китай, Zhejiang Province, Wenzhou City, No.177,Haichang Road,Haicheng"
"Оборудование химическое, нефтегазоперерабатывающее: Биоферментатор, модели: BR-F-10L, BR-F-50L, BR-F-100L, BR-F-200L, BR-F-500L.","Китай, No. 1509, Duhui Road, Minhang District, Shanghai China"
Пищевая добавка Каррагинан E407 Тип BLI1120,"КИТАЙ, 2699 Xingping 1st Road, Zhongdai Street, Pinghu City, Jiaxing City, Zhejiang Province, China"
"Компоненты транспортных средств торговой марки Auto Welt, поставляемые в качестве сменных (запасных) частей для послепродажного технического обслуживания автотранспортных средств: датчики давления топлива, артикулы CV-20055, 10 штук","Германия, 50354 Hurth, Grippekovenerstreet, 5 (50.887874, 6.8705304)."
"Электрические приборы не бытового назначения (не медицинского назначения) для салонов красоты с маркировкой BeautyDrill: аппараты для маникюра и педикюра, модели: Viki Port, Viki Nails, Nail Drill, Nail Polisher, Nail Master, Nail Drill Set, INAIL, FK1, FK2, FK3, FK4, FK5, 202, 203, 204, 205, 206, DM-202, DM-203, DM-204, DM-205, DM-206, YM-202, YM-203, YM-204, YM-205, YM-206, ZS-601, ZS-701, ZS-801, ZS-901, ZS-999, Strong 210, Strong 210/105L, Strong 212, Strong 213, Strong 214, Strong 215, Mercedes 2000, Mercedes 3000, Mercedes 4000, Mercedes 5000, DMJ2000, DMJ3000, DMJ4000, DMJ5000, DMJ6000, DMJ7000, ZS-717, ZS-718, ZS-719, ZS-720, ZS-721, ZS-722, Strong max 211, Strong max 222, Strong max 333, Strong max 444, Strong max 555, JF-108, JF-109, JF-110, JF-111, JF-112","Китай, 609, B2 Building Barea, Wanda Plaza, Balyun district, Guangzhou, China, 23.171188, 113.266791"
Конвейеры:,"КИТАЙ, Room B302 3rd Floor Building B Road Nanlin No.88 Shajing Street Bao An ,518125"
Барокамеры: Реактор Торговая марка Tofflon. Расчетное давление: До 0.4Мпа. Вместимость и модели,"Китай, No. 1509, Duhui Road, Minhang District, Shanghai China"
"Арматура промышленная трубопроводная: клапан, пневматический клапан, регулятор давления,","Соединенные Штаты, 2193 Denly Rd Houma, LA 70363, 29.549895°, -90.682864°"
"Аккумуляторная дрель-шуруповерт,","Китай, NO.74 ZISHAN WEST ROAD, ZHANGTING TOWN,YUYAO CITY, NINGBO CITY, ZHEJIANG PROVINCE"
"Рюкзак, сумка","Китай, Office 407, No. 53, Baofeng South Road, Shiling Town, Huadu District, Guangzhou, Chinah Road, Shiling Town, Huadu District, Guangzhou, China"
"Анализатор,","ЯПОНИЯ, 2-9-32 Nakacho, Musashino-shi, Tokyo 180-8750"
"Смесители, краны","Китай, FENGAN ROAD, FENGTANG TOWN, CHAOZHOU CITY, GUANGDONG PROVINCE, CHINA, 23.624027°, 116.565134°"
"Элементы оборудования (сборочные единицы) и комплектующие к нему, выдерживающие воздействие давления свыше 0,05 МПа:","Китай, NO.228 MEIFU ROAD, MINHANG DISTRICT, SHANGHAI, 31.109960°, 121.416210°"
Компоненты транспортных средств:,"Китай, Da Wang Zhen Fu Xing Wang Cun, Guangrao County, Dongying City, Shandong Province"
"Оборудование технологическое для мукомольно-крупяной, комбикормовой и элеваторной промышленности: Нория ковшевая,","Китай, Rm3414,F4 Block 141, Zhuanchang Beili, Tongzhou Dist.Beijing China, 101121, 39.879372°, 116.702762°"
"Реле,","Германия, Siemens Aktiengesellschaft Wittelsbacherplatz 2 80333 Munich Germany"
ПРИНТЕР ДЛЯ ПЕЧАТИ НАКЛЕЕК ДЛЯ ЭЛЕКТРООБОРУДОВАНИЯ (В КОМПЛЕКТЕ С ПРИНАДЛЕЖНОСТЯМИ),"Япония, 15-1, Naeshiro-cho, Mizuho-ku, Nagoya, 467-8561, Japan"
"Масло оливковое нерафинированное высшего качества (Extra virgin olive oil), в том числе, Органическое, PDO, PGI","ГРЕЦИЯ, 21, Marathonos, Industrial Zone N. Efkarpias, 56430, Thessaloniki"
Модифицированные крахмалы: LYCKEBY VOLUME С (ЛИКЕБИ ВОЛЬЮМ СИ) LYCKEBY VOLUME W (ЛИКЕБИ ВОЛЬЮМ В) LERF AC (ЛЕРФ АС) LERF CL (ЛЕРФ СЛ) LERF VP MB (ЛЕРФ ВП МБ) LYCKEBY 123 (ЛИКЕБИ 123) LYCKEBY 11166 (ЛИКЕБИ 11166) LYCKEBY 11200 (ЛИКЕБИ 11200) LYGEL 01 (ЛИГЕЛ 01) LYGEL 02 (ЛИГЕЛ 02) MICROLYS 32 (МИКРОЛИЗ 32) MICROLYS 34 (МИКРОЛИЗ 34) MICROLYS 36 (МИКРОЛИЗ 36) MICROLYS 52 (МИКРОЛИЗ 52) MICROLYS 54 (МИКРОЛИЗ).,"ШВЕЦИЯ, а/я 45, SE-290 34 Фьялкинге"
Инструменты ручные электрические: углошлифовальная машина,"Китай, Wangyuan Industrial Zone, Quanxi Town, Wuyi County, Zhejiang, China, 29.129500°, 119.690350°"
"Светодиодные LED модули DC12V серии: B3led, B2led, E2led, E3led, D1led, D2led, Mini 2835, TOR-1led, PXL, LED Lineyki. Светодиодные LED ленты DC12V серии: 2835-S-IP65, 120-Led, MH-12-086, MH-12-087-5mm. LED NEON 6*12: белый, тёплый белый, зелёный, оранжевый, жёлтый, красный, розовый, голубой, синий, бирюзовый, фиолетовый. LED NEON 8*16: белый, тёплый белый, зелёный, оранжевый, жёлтый, красный, розовый, голубой, синий, бирюзовый, фиолетовый.","Китай, 4th Floor, Building 6, 308 Lianhai Road, Jianghai District, Jiangmen, 4 этаж, корпус 6, улица Ляньхай, 308, район Цзянхай, Цзянмэнь"
Мебель для производственных помещений:,"КИТАЙ, Room B302 3rd Floor Building B Road Nanlin No.88 Shajing Street Bao An ,518125"
"Лабораторное оборудование, не медицинского назначения: Центрифуги, модель D1012UA, торговая марка DLAB.","Китай, Yuan Road 31 Area B KongGang Industrial Development Zone, Shunyi District, Beijing, 101318, P. R. China, 40.104944°, 116.544105°"
лифт,"ТУРЦИЯ, ANKARA, SINCAN, BASKENT OSB RECEP TAYYIP ERDOGAN BLY. NO 5"
"Приборы электроизмерительные: температурные сенсоры «Jumo»,","Германия, Moritz-Juchheim-Strasse 1, 36039 Fulda, 50.564015°, 9.684195°"
"Модули преобразователей,","ГЕРМАНИЯ, Flachsmarktstraße 8 D-32825 Blomberg"
"Оборудование технологическое для мукомольно-крупяной, комбикормовой и элеваторной промышленности: Транспортёр,","Китай, Rm3414,F4 Block 141, Zhuanchang Beili, Tongzhou Dist.Beijing China, 101121, 39.879372°, 116.702762°"
ЖАРЕНЫЕ ЗЕРНА КУКУРУЗЫ В СОУСЕ,"Турция, Çay Mahallesi., 6489. Sok., No:4, Akdeniz / Mersin, Türkiye, 36.840701, 34.700832"
"Экстракты, эссенции и концентраты кофе; Экстракты, эссенции и концентраты чая или мате; Готовые продукты на основе экстрактов, эссенций или концентратов кофе, чая или мате; Готовые продукты на основе кофе, чая или мате. Цикорий, кофе, кофейные напитки, чайные напитки, в том числе в виде порошка,","Китай, Zhejiang Province, Wenzhou City, No.177,Haichang Road,Haicheng"
"Изделия 3-го слоя верхние швейные для мужчин и женщин, из тканей из синтетических нитей в смеси с искусственными нитями, в том числе покрытые, дублированные, пропитанные полимерными материалами, в том числе на подкладке, в том числе утепленные, в том числе с отделкой: куртки (в том числе модели ""ветровка"", ""парка"", ""анорак"", ""бомбер"", ""косуха"", ""пуховик""), пальто (в том числе модели ""шазюбль"", ""дубленка""), полупальто (в том числе модель ""свингер""), плащи (в том числе модели ""дождевик"", ""тренчкот""), накидки (в том числе модели ""пончо"", ""кейп"", ""пелерина""), комбинезоны, полукомбинезоны, жилеты, жакеты (в том числе модели ""блузон"", ""болеро""), костюмы, пиджаки (в том числе модели ""фрак"", ""смокинг"", ""френч""), юбки, брюки (в том числе модели ""капри"", ""бермуды"", ""бриджи"", ""джогеры"", ""карго"", ""палаццо"", ""кюлоты""), шорты, юбки-брюки, юбки-шорты, в том числе в комплектах и наборах","Китай, 188, BINKANG ROAD BINJIANG HANGZHOU"
"Плоды цитрусовых культур свежие: помело свежее, грейпфруты свежие, маркировка FUJAN GUOGUO AGRICULTURAL DEVELOPMENT CO. LTD.","Китай, NO.112,SHANGXTPULOU,NANSHENG VILLAGE NANSHENG TOWN,PINGHE COUNTY,ZHANGZHOU,FUJIAN"
Смазочные материалы:,"ФРАНЦИЯ, 562 Avenue de Parc de I lle, 92029 Nanterre Cedex"
Головные уборы второго слоя для детей,"Испания, Ctra. Laurea Miro 403-405, 08980-Sant Feliu de Llobregat, Barcelona"
"Чернильный мембранный насос 24В,","Швейцария, Wassermatte 2, 6210 Sursee, Switzerland, 47.183079°, 8.106136°"
"Материалы текстильные одежные: ткани готовые из хлопковых, химических, синтетических, искусственных, натуральных, гидратцеллюлозных, эластомерных, шелковых, льняных, чистошерстяных, шерстяных, искусственных, синтетических нитей и волокон, их разных сочетаний, а также смешанных нитей и волокон,","Италия, 25047, Darfo Boario Terme, Via Roccole, 107, широта 45.900521°, долгота 10.195744°"
Фрукты субтропических культур,"ЧИЛИ, AV. VETACURA 3568 OF 316 VITACURA-CHILE"
Виски шотландский солодовый (объемная доля этилового спирта 40%):,"Соединенное Королевство Великобритании и Северной Ирландии, The Glenfiddich Distillery, Dufftown, Banffshire, AB55 4DH, Scotland, UK, / Гленфиддик Дистиллери, Бэнффшир, АВ55 4DH, Шотландия,"
Арматура промышленная трубопроводная,"Италия, Via Pietro Cossa, 2 25135 Brescia (BS)"
Мебель бытовая с металлическим каркасом:,"Китай, провинция Гуандун, Болоу, Юаньчжоу, Ляовей Синьвей"
"Упаковка бумажная и картонная для продукции промышленного и бытового назначения: коробки, пакеты, в том числе с надписями, с ручками. Торговые марки: «SOFI DE MARKO», «SIBERIA HOME»","Китай, NO 1802, ORIENTAL CENTURY CENTER, SHIXIN NORTH ROAD NO 22, XIAOSHAN DISTRICT, HANGZHOU CITY, ZHEJIANG, CHINA, 30.193196°, 120.266623°"
Напиток безалкогольный газированный,"ИСПАНИЯ, Карретера Сантес Креус с/н, 43814 Вила-Родона, Испания / Carretera Santes Creus s/n, 43814 Vila-Rodona, Spain"
Паста томатная,"КИТАЙ, Northern side of Wuqi High Road, Jimusaer County, Changji, Xinjiang 831700, China"
"Станки металлообрабатывающие : ""пила монтажная электрическая"" (для распиловки металлических изделий)","Китай, CBD of Yinzhou District, Ningbo City, Zhejiang Province"
"Продукция косметическая ухода за кожей, с товарным знаком «Ultra V», в том числе в наборах: антивозрастная сыворотка-концентрат для кожи лица в ампулах SIGNATURE с идебеноном «IDEBENONE SIGNATURE AMPOULE».","Республика Корея, 10-171, 54, Gyeyangmunhwa-ro, Gyeyanggu, South Korea"
Макаронные изделия:,"Корея, Республика, #1304, Centum 1st, 141, Seowon-Ro, Wansan-Gu, Jeonju-Si, Jeonbuk-Do, 34.527058, 127.245734"
"Посуда хозяйственная из бесцветного жаростойкого стекла (в том числе боросиликатного стекла) для взрослых, в том числе с элементами из полимерных материалов, дерева, бамбука, нержавеющей стали, в том числе с двойными стенками, в том числе со стеклянными, стальными, пластиковыми ситечками (фильтрами), в наборах и отдельными предметами","КИТАЙ, RM802, BULD.25, NO.1 PARK, YANCHENG, CHINA (КНР, Йанченг, Парк 1, строение 25, РМ802)"
Литий-ионный аккумулятор,"Китай, Shuangchenzhong Road Beichen Economic Development Area (BEDA) Tianjin 300400, P.R. China"
Проводники электрические,"КИТАЙ, MANZHOULI, JIDIANZONE, 8, JIDIANZONE EAST NEW, GOVERNMENT MANZHOULI"
Грейпфруты свежие.,"Турция, TURKEY, TRABZON, ORTAHISAR, CARSI MAH. DEREBOYU SOKAK NO, 18/1"
"Оборудование для электротехнической промышленности: Автомат установки компонентов, монтажный автомат,","Германия, Industriestraße 8, 55743 Idar-Oberstein, 49.722000°, 7.376870°"
"Фрезы: отрезные и прорезные из быстрорежущей стали марки Р6М5, HSS, HSS 4341, Р6М5К5, HSSE, HSS 6542","Китай, B-16, Zaoqiao industerial area, Hongjia street, Jiaojiang, Taizhou city, Zhejiang province"
