Generic Product Name,Manufacturer Address
"Оборудование измерительное: Мультиметр, МУЛЬТИМЕТР ЦИФРОВОЙ МНОГОФУНКЦИОНАЛЬНЫЙ Толщиномер, Мультиметр-ручка цифровой, Тестер транзисторов, Мультиметр цифровой с цветным дисплеем и встроенным аккумулятором, Индикатор напряжения бесконтактный, Цифровой pH-метр","Китай, CBD of Yinzhou District, Ningbo City, Zhejiang Province"
Оборудование технологическое для пищевой промышленности:,"Китай, No. 80, Tongsheng Road, Dongning Town, Dongning City, Mudanjiang City, Heilongjiang Province"
"Продукция косметическая ухода за кожей, с товарным знаком «Ultra V», в том числе в наборах: антивозрастной увлажняющий крем для кожи лица с идебеноном «IDEBENONE CREAM».","Республика Корея, 10-171, 54, Gyeyangmunhwa-ro, Gyeyanggu, South Korea"
"Зажигалки электрические, с маркировкой: LIGHTER, TIANMU, DONGNING HENGXIANG TRADING CO., LTD., YIWU WEISINA IMPORT AND EXPORT CO., LTD, модель: A001, A006","Китай, 108, BUILDING 1, DISCOVERY HAOYUAN, NO. 65 TUANJIE ROAD, DONGNING TOWN, DONGNING CITY, MUDANJIANG CITY, HEILONGJIANG PROVINCE,CHINA"
"Оборудование для промышленности строительных материалов: Паллетоукладчик, модель ALK-LZ-400-B","Китай, East End of Chuangye Road, Gaoxin District, Feicheng City, Tai'an City, Shandong Province"
"Плоды цитрусовых культур: мандарины свежие, кумкваты свежие, маркировка ZIGUI COUNTY QUGU FOOD CO., LTD","КИТАЙ, INGANGCHENG VILLAGE, MAOPING TOWN, YICHANG CITY, HUBEI PROVINCE, CHINA"
"Аккумуляторы литий-ионные, для складских электротележек,","Китай, No. 104, Zone 1, Tangwang Village, Pengjie Town, Luqiao District, Taizhou City, Zhejiang Province"
"Продукция парфюмерная марки «KENZO», в том числе из парфюмерных наборов и образцы-пробники:","Франция, 77 Rue A. France, 92300 Levallois-Perret"
"Изделия санитарно-гигиенического назначения из пластмасс, в наборах и отдельными предметами","КИТАЙ, RM 306 NO.82 XINGANG DONG ROAD, HAIZHU DISTRICT GUANGZHOU"
"Оборудование для изменения потока движения зерновых, продуктов переработки: Распределитель,","Китай, Rm3414,F4 Block 141, Zhuanchang Beili, Tongzhou Dist.Beijing China, 101121, 39.879372°, 116.702762°"
Электрические приборы бытового назначения для нагревания жидкости,"Китай, No.1 South Of Shenghui Road , Nantou Town, Zhongshan City, Guangdong"
"подушка «Сердце», артикул SJ23072002 - 3240 штук, плед, артикул ST22051801 - 6 816 штук","КИТАЙ, ROOM 708, FLOOR 7, NO.529 ZONGZE NORTH ROAD, BEIYUAN STREET, YIWU CITY, ZHEJIANG PROVINCE"
"фрезы с многогранными твердосплавными пластинами марок “GRIF”, “SANT”, “Jinte”, “HT”, “Achteck”, “CDBP”, “ZCC CT”, “GRIF / SANT”.","КИТАЙ, Block A,Building7,B area, Auto Parts Industrial Park,No.9 Zhongda Road, District, Zhuzhou City, Hunan Province ,China"
"Оборудование для сварки бытовое: Инвертор сварочный,","Китай, EAST OF XINCHENG AVENUE, QIAOWU VILLAGE, ZEGUO TOWN,WENLING, TAIZHOU, ZHEJIANG PROVINCE, CHINA, 28.494173°, 121.352299°"
"Консервы стерилизованные с маркировкой «PREMIERE OF TASTE»: кусочки ананаса в ананасовом соке в жестяных банках массой нетто от 0,1 кг до 1 кг","ИНДОНЕЗИЯ, Sequis Tower Level 39-40, Jl. Jendral Sudirman Kav. 71, SCBD Lot 11-B, Jakarta Selatan 12190, Indonesia, координаты ГЛОНАСС: -6.225678, 106.807186"
"Конвертеры последовательных интерфейсов RS-232/422/485,","ТАЙВАНЬ (КИТАЙ), 1111, Heping Rd., Bade District, Taoyuan City 334, Taiwan"
арматура промышленная трубопроводная:,"Китай, Ningbo, Zhejiang, China, 315131"
"Драже с молочным шоколадом в сахарной глазури – для декорирования 6 цветов, MICRO","ПОЛЬША, Ul. Chopina 10, 34-100 Wadowice, Poland"
Компоненты транспортных средств:,"Китай, Da Wang Zhen Fu Xing Wang Cun, Guangrao County, Dongying City, Shandong Province"
"Арматура промышленная трубопроводная: Краны шаровые, краны смесительные,","100020, Китай, Chaoyang District, Beijing, Room 2506, Fuli Twin Tower A No.59, Dongsanhuan Middle Road, P.R. China"
Какао-порошок натуральный.,"ИНДОНЕЗИЯ, BETA PLOT NO. 2, KAWASAN INDUSTRI MASPION, JL. RAYA MANYAR KM 25, DESA MANYAR SIDOMUKTI, KECAMATAN MANYAR GRESIK 61151, EAST JAVA, INDONESIA,"
"Беспроводные роутеры,","ТАЙВАНЬ (КИТАЙ), No. 150, Li-Te Rd., Peitou, Taipei 112, GLN: 4719543900017"
"Аккумуляторная литий-полимерные батарея,","СОЕДИНЕННОЕ КОРОЛЕВСТВО, Unit 1, Regent Park Booth Drive Park Farm South Wellingborough Northants, NN8 6GR, United Kingdom"
"Изделия верхние третьего слоя для взрослых: Пуховики женские
бренд SENSUALITY","Китай, Floor 5,No.98 Tongan Park, Industrial Concentration Zone, Tongan District, Xiamen,China"
"Батареи аккумуляторные свинцово-кислотные герметизированные. Торговых марок: One Sun, Sunways","КИТАЙ, WENGCHENG INDUSTRIAL PARK, GUANDU DEVELOPMENT ZONE, WENGYUAN, SHAOGUAN, GUANGDONG, 24.422780, 113.795390"
"резцы токарные с многогранными твердосплавными пластинами марок “GRIF”, “SANT”, “Jinte”, “HT”, “Achteck”, “CDBP”, “ZCC CT”, “GRIF / SANT”.","КИТАЙ, Block A,Building7,B area, Auto Parts Industrial Park,No.9 Zhongda Road, District, Zhuzhou City, Hunan Province ,China"
"Шкаф наружного исполнения, модель: SmartAX F01M50","КИТАЙ, Bantian, Longgang District, Shenzhen 518129, PR of China"
Устройства межсистемной связи cетей:,"Китай, 22-23F, Bldg.2, Nanshan I Park Chongwen, 3370 Liuxian Avenue, Nanshan District, Shnzhen, China, 518052, 22.583546°, 113.976445°"
"Портативные аккумуляторы: повербанк, с торговым знаком «Chateau Tamagne».","Китай, Здание 7, ул. Хуа Юй, деревня Чан Лун, г. Хуан Цзян, Дунгуань, пров. Гуандун, Глонасс 23.022447,113.746397"
"Инструмент ручной электрифицированный: угловые шлифовальные машины, торговой марки «DENZEL», модель AG125-1500 (артикул 26907).","КИТАЙ, NO.21, NORTH MINGYUAN ROAD, HARDWARE TECHNOLOGY INDUSTRY ZONE, YONGKANG, CHINA. Координаты: 28.915700, 120.082062."
Смазочные материалы:,"ФРАНЦИЯ, 562 Avenue de Parc de I lle, 92029 Nanterre Cedex"
Саундбары,"Япония, 1-7-1 Konan, Minato-ku, Tokyo, 108-0075, 35.631403°, 139.743647°"
"Средства косметические для ухода за кожей, в том числе в наборах и пробниках:","КОРЕЯ, РЕСПУБЛИКА, 22-17, sandan-gil, Jeonui-myeon, Segong-si, Republic of Korea"
"Посуда из стекла, в том числе упрочненного для взрослых: сосуды стеклянные для аэрации вина - декантер, с товарным знаком «Chateau Tamagne»","Гонконг, Unit 04, 7/F Bright Way Tower, No. 33 Mong Kok Road, Kowloon, Hong Kong, GLN 4607062869987"
Шины пневматические для легковых автомобилей и их прицепов.,"КИТАЙ, Dadi Road West, Xinhai Road North, Houzhen Industry Zone, 262700 Shouguang City, Shandong province, China (PRC)"
"Изделия 2-го слоя верхние швейные для мужчин и женщин, из хлопчатобумажных тканей, в том числе джинсовых, в том числе в смеси с синтетическими нитями, в том числе на подкладке, в том числе с отделкой, в том числе спортивного назначения: платья (в том числе модель ""сарафан""), блузки (в том числе модели ""боди"", ""топ"", ""бюстье"", ""блуза"", ""туника""), брюки (в том числе модели ""капри"", ""бермуды"", ""бриджи"", ""джогеры"", ""карго"", ""палаццо"", ""кюлоты""), джинсы, костюмы, комбинезоны, полукомбинезоны, шорты, юбки, юбки-брюки, юбки-шорты, жакеты (в том числе модели ""блузон"", ""болеро""), жилеты, блейзеры, кардиганы, пиджаки (в том числе модели ""фрак"", ""смокинг"", ""френч""), фартуки, в том числе в комплектах и наборах","Китай, 10F, Jinling Intl Mansion, No. 85, Ou Yang Road, Shanghai 200081, 31.270531°, 121.487660°"
"Вино игристое «PROSECCO EXTRA DRY MILLESIMATO » (Просекко Экстра Драй Миллезимато) брют белое региона Тревизо; Вино игристое «PROSECCO BRUT ""MARNA BLU""» (Просекко Брют ""Марна Блю"") брют белое региона Тревизо.","ИТАЛИЯ, Via Palu, 19-31026 Sarmede (TV) Italy / ""Сочьета Агрикола Масот сс"", Виа Палу, 19-31026 Сармеде (ТВ)"
Электрические приборы бытового назначения:,"Китай, No. 80, Tongsheng Road, Dongning Town, Dongning City, Mudanjiang City, Heilongjiang Province"
Приборы измерительные электронные:,"ФРАНЦИЯ, 174, Route dEyguières FR-13113 Lamanon"
Вино сортовое выдержанное,"ФРАНЦИЯ, Champ Potard, 396 rue Adrien Arcelin F-71960 Fuissé , France /""Домэн Софи Синье"", Шам Потар, 396 рю Адриен Арсэлен, Ф-71960 Фюиссе"
"Кондитерские изделия сахаристые: Начинка кондитерская ""Сгущёнка-варёнка""","ЭСТОНИЯ, 31026, Altserva 31, Kohtla-Järve"
"ФОНАРЬ ЭЛЕКТРИЧЕСКИЙ СВЕТОДИОДНЫЙ НАЛОБНЫЙ, АККУМУЛЯТОРНЫЙ, ОБЩЕГРАЖДАНСКОГО НАЗНАЧЕНИЯ; НАЛОБНЫЙ ТУРИСТИЧЕСКИЙ ФОНАРЬ, ФОНАРЬ ЭЛЕКТРИЧЕСКИЙ СВЕТОДИОДНЫЙ КЕМПИНГОВЫЙ, АККУМУЛЯТОРНЫЙ, ОБЩЕГРАЖДАНСКОГО НАЗНАЧЕНИЯ; КЕМПИНГОВЫЙ ТУРИСТИЧЕСКИЙ ФОНАРЬ.","Китай, No. 15 Yingbin Avenue, Qingxi Industrial Zone, Yongkang City, 29.087644°, 120.062490°"
Электрические приборы бытового назначения:,"Китай, No. 80, Tongsheng Road, Dongning Town, Dongning City, Mudanjiang City, Heilongjiang Province"
Напитки спиртные: «Текила Дон Хулио 70 Кристалино Аньехо» (объемная доля этилового спирта 35%) - 300 бутылок; «Текила Дон Хулио 70 Кристалино Аньехо» (объемная доля этилового спирта 40%) - 300 бутылок.,"МЕКСИКА, Carretera Atotonilco-Guadalajara KM 8, Atotonilko el Alto, Jalisco, C.P. 47750, Mexico /, Карретера Атотонилко-Гваделахара КМ 8, Атотонилко эль Альто, Халиско, Си.Пи. 47750, Мексика."
Фрукты тропических культур,"БРАЗИЛИЯ, ROD. BR 407, S/N, AREA PA I LOTE 626 PSNC NUCLEO 02 - PETROLINA PE BRAZIL CNPJ: 09.665.653/0001-64"
"Оборудование световое: светильники светодиодные декоративные переносные и стационарные с питанием от химического источника тока (батарейки) и от USB: светодиодная, гирлянда светодиодная, нитяные шарики, гирлянды нити, гирлянда роса, гирлянды нить-роса, гирлянды капли росы, гирлянды занавесы, декоративная гирлянда венок, светодиодное дерево , гирлянда светодиодная новогодняя гибкая, светодиодная гибкая гирлянда нить роса, держатель для шаров со светодиодами из пластика, металла, сувенирные фонарики, струнный наружный фонарь, домик с подсветкой, гирлянды световые, гирлянда на солнечной батарее, гирлянды «штора», светодиодные ленты для декоративного освещения помещений и фасадов зданий, гирлянды из светодиодных лампочек, гирлянды иллюминационные, гирлянды декоративные, светодиодные сетки, фигурки в виде: снеговиков, дедов морозов, ангелов, елок, снегурочек, оленей, снежинок, ангелов, лун, снеговиков, колокольчиков с LED подсветкой, фонари, гирлянды для украшения ёлок, световые занавеси и сетки; светящиеся ели, сосны, венки, светящиеся фигуры, фигурки в виде оленя, деды морозы, снегурочки, звездочки, светящиеся фонари, светящиеся декоративные светильники, походные фонари светодиодные, налобные фонари led, уличный светильник от солнечной батареи, детский светодиодный ночник с функцией Bluetooth на пульте управления, 3Д ночник, детский ночник проектор звездного неба с белым шумом и мелодиями, светодиодная Led подсветка, декоративные светильники «лавовые лампы», звезды светящиеся, наконечники для елей светящиеся, в том числе музыкальные, светильники декоративные, ночники, детские ночники, детские светильники, детский ночник-проектор, LED times-55, LED светильник и Led ночник, led проектор детский, ночник проектор с мелодией, лазерный проектор, зеркало с подсветкой, зеркало карманное с подсветкой, косметические зеркала с подсветкой, декоративный диско-шар проектор с мелодией, светильник силиконовый светодиодный, светодиодный ночной светильник с датчиком движения, ночники на батарейках, в том числе usb, светодиодная лента с пультом, лампы настольные светодиодные. Мрака: ForLife","Китай, 10F, NO.4 BUILDING, WANDA PLAZA, TAIZHOU, CHINA"
"Плоды тропических и субтропических культур свежие, упакованные одного наименования и в наборах (миксах), с маркировкой ""Fresh Quality Comercio Exterior Ltda"":","БРАЗИЛИЯ, (CNPJ: 31.773.117/0001-31) RODOVIA JOSE CARVALHO KM 104, SN, GALPAO 1 E 2 LIBERDADE-PIEDADE-SP, BRASIL"
Оборудование насосное:,"КИТАЙ, No. 1412 Jinshao Road, Baoshan district, Shanghai"
"Оборудование световое общего назначения от сети: светодиодные ленты для декоративного освещения помещений и фасадов зданий, светодиодные нити, светодиодная бахрома, гирлянды, в том числе, гирлянды светодиодные, гирлянда уличная ретро, гирлянды электрические, гирлянды шторы, гирлянды занавесы, гирлянды нити, гирлянда роса, гирлянды нить-роса, гирлянды капли росы, led гирлянды, USB лампочка, светодиодная бахрома, гирлянды для украшения ёлок, елка со встроеной гирляндой, гирлянды светодиодные звёзды, светодиодные гирлянды шары, гирлянда бахрома, гирлянды на ёлку нить, гирлянды фонарики, гирлянды сетка, гирлянды шторы с пультом дистанционного управления , гирлянды нить с пультом дистанционного управления, дюралайт, неоновые ленты, водопады «конский хвост», светодиодные сетки, светодиодные вывески, фигуры из светодиодных лент, детский ночник-проектор, кольцевые лампы, ночник-проектор, ночник проектор с мелодией, декоративный диско-шар проектор с мелодией, проектор ночное небо, проектор светодиодный, прожектор светодиодный светильники декоративные, ночники, детские ночники, ночник-проектор, детские светильники, светильник силиконовый светодиодный, светодиодный ночной светильник с датчиком движения, ночник со встроенной аудиосистемой, зеркало с подсветкой, торшер, ночник с функцией Bluetooth, ночник-куб usb с адаптером, ночник-проектор куб creative table lamp, ночник-шар, светодиодный светильник для растений, Grow light гроу лампы, фитосветильник для растений, фитолампа, светильник круглый декоративный, светильники из изолона, светодиодные ленты, светодиодная лента подсветка с датчиком движения, неосветильник, светодиодная лента с пультом дистанционного управления, led светодиодная люстра, LED ночник, ночник проектор звёздное небо, ночник фигурка, кольцевая лампа, кольцевая светодиодная лампа, светодиодная лампа, лампа закат, лампа с линзой, фигурки с LED подсветкой, фонари, световые занавеси и сетки, светящиеся фонари, светящиеся декоративные светильники, декоративные светильники «лавовые лампы», звезды светящиеся, наконечники для елей светящиеся. Марка: ForLife","Китай, Room 720, Building 4, LOMO Apartment, No. 28988 Jingshi Road, Huaiyin District, Jinan City, Shandong Province"
Одежда верхняя швейная пальтового ассортимента из хлопчатобумажных тканей для женщин,"Китай, Room 1518, Shenzhen Kerry Centre, Renmin Road (S), Shenzhen, People Republic, China, 22.300701°, 114.208747°"
"Инструмент абразивный отрезные, шлифовальные, зачистные круги:","КИТАЙ, Room1114, buiding2, Sky Wing Business Center, Shangcheng District, Hangzhou City, Zhejiang Province"
"Внешний аккумулятор, аккумулятор, пауер банк,","Китай, RM 1302 13/F CHEONG K BUILDING 84-86 DES VOEUX ROAD CENTRAL, координаты 22.284438, 114.155400"
"Постельные принадлежности для взрослых в комплектах и отдельными предметами: одеяла, подушки, постельные покрывала, ортопедические и анатомические подушки с эффектом памяти из пенополиуретана Memory Foam, наматрасники, перины с верхом из хлопчатобумажных, в том числе джинсовых, льняных, шерстяных, смешанных тканей, из тканей из синтетических волокон и нитей, с наполнителем из синтетических волокон, перо-пуховым наполнителем. Марка: home like","Китай, LE AN COUNTY, FUZHOU CITY, JIANGXI PROVICE, 27.428140°, 115.831090°"
Многофункциональная мыльница,"Китай, 23, Chuangxin Road, Huangzhai Town, Pujiang County, Jinhua city, Zhejiang province, 29.447508, 120.026589"
Обратный клапан поворотный фланцевый DN500 PN10,"Китай, DAYANG INDUSTRIAL PARK, LUYANG DISTRICT, HEFEI, ANHUI"
"Машины и оборудование для коммунального хозяйства: подметальная машина бензиновая на колесах для уборки тротуаров,","Китай, WangGeZhuang Development Area, Anping County, Hengshui City, Hebei, P. R., China"
"ПЕРЕЦ СВЕЖИЙ, СЛАДКИЙ","ИРАН, ИСЛАМСКАЯ РЕСПУБЛИКА, IRAN, pardis pasajh, azadi St, piranshahr city"
"Усилители звуковой частоты не бытового, не офисного назначения: громкоговорители,","Китай, 300040, China, Tianjin, Heping Distrcit, Baoding Road, No. 25, 39.120615°, 117.208009°"
Продукция косметическая для ухода за волосами марки «Vichy»:,"ФРАНЦИЯ, 14, Rue Royale, Paris, France, 75008"
"Проводники электрические: Плоские кабели, на напряжение 30В,","Малайзия, 76, Jalan Pengasah 3, Kampung Rantau Panjang, 41200 Klang, Selangor, Малайзия, 3.039515°, 101.413759°"
Электрические посудомоечные машины не бытового назначения,"Турция, Isiktepe OSB Mahallesi, Eflatun Cadde 9, 16215 Nilufer, BURSA"
"Переключатели ползунковые,","Китай, Office 1007-8 10/F Harcourt House 39 Gloucester Road Wanchai Hong Kong, 22.279719°, 114.173061°"
"Тарелка десертная «Ландыш», артикул NMP70-23012 – 18 936 шт.,
Тарелка обеденная Ландыш артикул NMP100-23012 – 18900 шт.,
Тарелка суповая Ландыш, артикул NMQP80-23012 – 18 912 шт.,
Салатник «Ландыши» артикул NPKW60-23012 – 18144 шт.","КИТАЙ, NO.47, DONGFENG 2ND ROAD, YANGJIANG ,GUANGDONG"
Кабачки свежие,"ТУРЦИЯ, ISPARTA, SENIRKENT, SULTAN SULEYMAN MAH., GUVEN SK. 1/5"
Дизельный вилочный погрузчик,"Китайская Народная Республика, P6J9+365, Woyun Rd, Shushan District, Hefei, Anhui, Китай, 231281, 31.809977145573725, 117.24112818621656"
"Посуда стеклянная для взрослых в наборах и отдельными предметами: изделия из стекла, в том числе боросиликатного, жаростойкого стекла, с элементами из дерева: стаканы, стакан из двойного стекла, стакан заварочный из двойного стекла с крышкой, бокалы, вазы, кувшины, кружки, кружка из двойного стекла, кружка из двойного стекла с крышкой, графины, бутылки, бутылки питьевые, стеклянные трубочки, подсвечники, гайвань, чахай, банки для сыпучих продуктов, крышки, бульонницы, тарелки, тарелки обеденные, тарелки суповые, пиала из двойного стекла, подносы, тортницы, этажерки, чайники, подставки под горячее, дозаторы для мыла с емкостью из стекла, мыльницы, фужеры, рюмки, чашки, салатники, маслёнки, сахарницы, ваза декоративная, цветочная ваза, цветочный горшок, диспенсер кухонный, органайзер для хранения, дозатор для мыла и моющих средств, салатник, тарелка, суповница, фруктовница, банка для сыпучих в том числе с элементами из бамбука, банка с крышкой, баночки для хранения специй стеклянные с пластиковыми крышками, трубочки, крышка, лоток для хранения в том числе с элементами из бамбука, чайник заварочный с металлическими элементами, чайник заварочный с бамбуковой крышкой, чайник заварочный со стеклянной крышкой, чайник заварочный с элементами из бамбука, кастрюля, ковш, емкость для запекания, креманка, соусник, бутылка для молока, бутылка для воды, декандер, бутылка декоративная, распылитель для масла, кувшин, набор контейнеров, набор посуды, масленка, френч-пресс, турка, набор стаканов, термокувшин, колба, набор аксессуаров для ванн, емкость для масла и уксуса, набор для специй в том числе с элементами из бамбука, пластика, сахарница в том числе с элементами из бамбука, мельница, доска разделочная, подставка для яиц, чашка с двойными стенками, мельница с элементами керамики и пластика, утятница, паштетница, набор стопок, дозатор для масла, блюдце, набор чайный, менажница, подставка под горячее, шейкер, конфетница, ёмкость с пластиковой крышкой, чайник заварочный с пластиковой крышкой, форма для запекания, бульонница, поднос, блюдо, тортница, в том числе с элементами из бамбука, хлебница, этажерка, ваза для хранения, емкость для сыра, банка для меда в том числе с элементами из бамбука, армуд, подсвечник, кольцо для салфеток, салфетница, графин, бутылка с пробковой крышкой, лимонница, распылитель для масла, флаконы для хранения эфирного масла, автомобильный диффузор для эфирных масел, в том числе с элементами бамбука, бокалы с элементами из полимерных материалов, стакан с пластиковой крышкой, бутылка с двумя ёмкостями, заварочным элементом, пластиком и железом, молочник. Марка: Crystal glasses","Китай, China, Zhejiang, Yinzhou, Ningbo, Tiangao Alley, No.222, Nan Yuan New City Hotel, room 3423, 29.805235°, 121.545986°"
Грейпфруты свежие,"ТУРЦИЯ, ISPARTA, SENIRKENT, SULTAN SULEYMAN MAH., GUVEN SK. 1/5"
"Станки металлообрабатывающие: токарные обрабатывающие центры, токарные многоцелевые, винторезные, сверлильные, радиально-сверлильные, сверлильно-фрезерные станки, фрезерные, расточные, фрезерно-расточные станки,","Китай, Xianggong Sangyuan Industrial Zone, Zhangqiu City, Jinan City, Shandong Province, China"
"Вина молодые сортовые полусухие красные (объемная доля этилового спирта 9% - 15%, массовая концентрация сахаров от 4 г/дм3 до 18 г/дм3): «Ла Пикета Каберне Совиньон»; «Ла Пикета Мерло»; «Конкеста Мерло»; «Конкеста Темпранильо»; «Конкеста Каберне Совиньон».
Вина молодые сортовые полусухие белые (объемная доля этилового спирта 9% - 15%, массовая концентрация сахаров от 4 г/дм3 до 18 г/дм3): «Ла Пикета Совиньон Блан»; «Конкеста Шардоне»; «Конкеста Совиньон Блан»
Вино молодое сортовое сухое белое (объемная доля этилового спирта 9% - 15%): «Ла Пикета Шардоне».","ИСПАНИЯ, Autovia del Sur Km 199, 13300 Valdepenas, Spain / Аутовия дел Сур Км 199, 13300 Вальдепеньяс."
Насос,"Швеция, Sickla Industriväg 19, Nacka"
Станки металлообрабатывающие:,"Китай, No.10,FuYang, Industrial Park, FuYuan Road, XiangCheng District, Suzhou city,China, 31.402110°, 120.640980°"
"Плоды цитрусовых культур свежие: мандарины свежие, апельсины свежие, кумкваты свежие, маркировка Jiangxi Province Hongyuan Fruit Industry Co.,Ltd.","Китай, Zeng Gong Avenue Extenxsion,Nanfeng County,Fuzhou City Jiangxi Provine"
"Трубы канализационные из полипропилена (для внутридомовой канализации),","Польша, Sieniawa Zarska 69 68-213 Lipinki Luzyckie"
"Хурма свежая, урожай 2023 года","УЗБЕКИСТАН, Республика Узбекистан , Ферганская область, г.Фергана, ул. Ал-Фаргоний 20/2"
"Парогенератор промышленный, модели: 34KW, 36KW, 42KW, 45KW, 50KW","Китай, Dafan Village, Fenglin Town, Yangxin County, Huangshi City, Hubei Province"
Виски шотландский односолодовый ГЛЕНМОРАНДЖИ ОРИДЖИНАЛ 10 ЛЕТ (GLENMORANGIE THE ORIGINAL 10 YEARS ) (объемная доля этилового спирта 40%),"Соединенное Королевство Великобритании и Северной Ирландии, Шотландия, Куб, 45 Лейт-Стрит, Эдинбург ЕН1 / The Cube, 45 Leith Street, Edinburgh EH1, Scotland, UK , 55.954490, -3.186967"
"Вакуумный мембранный насос 24В,","Швейцария, Wassermatte 2, 6210 Sursee, Switzerland, 47.183079°, 8.106136°"
"Средства косметические по уходу за кожей: BARONESS Успокаивающий гель с Алоэ Вера,","КОРЕЯ, РЕСПУБЛИКА, 6-6 Seochojoongangro-33gil, Seochogu Seoul, Korea"
Оборудование технологическое для мебельной промышленности: Машина упаковочная.,"Китай, No. 1, 9th Road, Xiyuan, Xihu Science and Technology Park, Santun City, Hangzhou, China, 120.071358, 30.323307"
"Одежда верхняя швейная третьего слоя мужская в комплектах и отдельными предметами: пальто, полупальто, плащи, ""парки"", куртки, в том числе без рукавов (""жилеты"")","Турция, NURIPASA MAH. ZUBEYDE HANIM CADDESİ 300 B 34025. ZEYTİNBURNU. ISTANBUL, 40.98322774374989, 28.899476437801873"
"Аппарат плазменной резки,","Китай, CBD of Yinzhou District, Ningbo City, Zhejiang Province"
"Оборудование технологическое для стекольной промышленности торговая марка: «North Glass»:
Секция печи для закалки гнутого стекла, модель: 2H13
печи для закалки плоского/гнутого листового стекла, модель: AU-1B40, AU-1E42, AU-1E60, AU-1G30, AU- 1J30, AU-1J42, T-1S60, BG-1B50, BG-1B42, AG-1E60, AU-12E6025R, AG-1S60, AG-1S20, BU -12Q3010R, 5S60, BG-15E50R, AG-1S60, TG1S60, AG-1B36, TG-1S60, AG-1B50, BU-1B36, BU1B36
Секция нагрева стекла мод. 1B36.","Китай, 201614, No.328 Guanghua Road, Songjiang Science & Technology Zone, Shanghai, координаты 31.037904,121.245730"
"Виски ирландский купажированный «ВЕСТ КОРК АЙРИШ СТАУТ КАСК МЭЙЧУРД».
Виски ирландский солодовый «ВЕСТ КОРК СМОЛ БЭТЧ КАЛЬВАДОС КАСК ФИНИШД» .
Виски ирландский купажированный «ВЕСТ КОРК КАСК СТРЕНГС».
Виски ирландский солодовый «ВЕСТ КОРК ГЛЕНГАРРИФФ СЕРИЕС БОГ ОАК ЧАРД КАСК».
Виски ирландский солодовый «ВЕСТ КОРК ГЛЕНГАРРИФФ СЕРИЕС ПИТ ЧАРД КАСК».
Объемная доля этилового спирта не менее 40%.","ИРЛАНДИЯ, Marsh Road, Skibbereen, Co. Cork, Ireland / Марш Роуд, Скибберин, Ко. Корк, Ирландия."
"Изделия трикотажные верхние женские из хлопчатобумажной пряжи: джемперы, в том числе с коротким рукавом, пуловеры, свитеры, брюки, кардиганы, юбки, платья,","Турция, IOSB METAL İS SANAYİ SİTESİ 17.BLOK NO:7 BASAKSEHİR"
