Generic Product Name,Manufacturer Address
Оборудование технологическое:,"КИТАЙ, Room 08, Floor 34, Unit 2, Yonghe Longzihu Central Plaza, 197 Ping An Avenue, Jinshui District, Zhengzhou City, Henan Province, China"
Электрические приборы бытового назначения:,"Китай, No. 80, Tongsheng Road, Dongning Town, Dongning City, Mudanjiang City, Heilongjiang Province"
"Продукция косметическая ухода за кожей, с товарным знаком «Ultra V», в том числе в наборах: антивозрастная увлажняющая тканевая маска для кожи лица с идебеноном «AQUA SHINE MASK» (партия 203 набора); антивозрастная маска для лица с идебеноном на нетканой основе «IDEBENONE SIGNATRE MASK» (партия 160 наборов).","Республика Корея, 10-171, 54, Gyeyangmunhwa-ro, Gyeyanggu, South Korea"
Материалы текстильные одежные:,"КИТАЙ, ROOM 42-44, AREA E, F.2, JINGHU TEXTILE MARKET, SHAOXING, ZHEJIANG, CHINA"
"Плоды цитрусовых культур свежие: Помело свежее, Грейпфруты свежие маркировка PINGHE GUOXI FRUIT AND VEGETABLE CO.,LTD","Китай, YUXIVILLAGE,XIAOXITOWN,PINGHE COUNTY,FUJIAN PROVINCE"
"Одежда верхняя швейная второго слоя женская из хлопчатобумажных, смешанных тканей, из тканей из синтетических нитей, в том числе с покрытием из полиуретана: пиджаки, жакеты, жилеты, брюки, шорты, комбинезоны, костюмы, в том числе спортивные, платья, сарафаны, блузки, рубашки, топы, юбки, юбки-брюки, юбки-шорты,","Турция, IOSB METAL İS SANAYİ SİTESİ 17.BLOK NO:7 BASAKSEHİR"
"Изделия трикотажные верхние мужские: сорочки верхние (рубашки, рубашки ""поло"") из пряжи из натуральных волокон растительного происхождения, в том числе в сочетании с натуральными волокнами животного происхождения,","Италия, Statale dei Giovi 251, 20823 Lentate sul Seveso (MB) Italy, 45.697817318153106, 9.101237772209414"
"Лифт грузопассажирский электрический, модель TKWJ, заводской номер D2022-1201, месяц и год выпуска Июнь 2023, грузоподъёмность: 1000 кг., остановок: 10, скорость: 1м/с, высота подъёма: 38,0 м., установленный по адресу: Приморский край, г.Владивосток, ул.Тигровая, д.7.","215233, КИТАЙ, Jiangsu Province, Zhenze Town, Suzhou City, Badu Industry Zone, Taihu Road"
"Продукция косметическая ухода за кожей, с товарным знаком «Ultra V», в том числе в наборах: антивозрастная гидрогелевая маска для лица с идебеноном и золотом «IDEBENONE EXO GOLD MASK».","Республика Корея, 10-171, 54, Gyeyangmunhwa-ro, Gyeyanggu, South Korea"
Ром невыдержанный,"ДОМИНИКАНСКАЯ РЕСПУБЛИКА, Autopista Duarte, Km 22, Zona Franca Industrial Hato Nuevo, naves 1,4 y 5, Santo Domingo Oeste"
"Одежда швейная верхняя пальтового ассортимента мужская и женская из тканей из синтетических нитей (волокон), в том числе ворсовых, в том числе дублированных или с покрытием из полимерных материалов: пальто, полупальто, плащи, пончо, накидки, куртки, ""ветровки"", жилеты, жакеты","Италия, Via dell' Agricoltura N.47/49, 41012 Carpi (MO), 44.783794°, 10.850923°"
"Устройство отображения информации небытового назначения на напряжение 24 вольта: Экран дисплея,","Китай, Building B1, Hangsheng Industrial Park, Fuyuan Road 1, Heping Village, Fuyong Town, Bao`an District, ShenZhen, 22.672762°, 113.418431°"
"Насос вакуумный одноступенчатый,","КИТАЙ, No.999 Chengbo Road, Xiangcheng District, Suzhou"
"Плиты теплозвукоизоляционные из минеральной ваты (утеплитель),","КИТАЙ, Xiangyang Xiangyang Industrial Park, Xiangyang Town, Xiangfang District, Harbin"
Виноград свежий,"Китай, ROOM N0.9,THE FIRST FLOOR OF THE APRTMENT A,KAIXUANCHENG FANERSAI GARDEN, THE NORTH DISTRICT, MANZHOULI CITY"
"Оборудование для переработки полимерных материалов: экструдер, гранулятор, установка грануляции на базе экструдеров каскадного типа, стренгорез, сквизер, дробилка, мельница, станок для резки (отрезное устройство), шредер, миксер, гильотина, маркировка ""SPK""","КИТАЙ, Daomai Liangzhong Chang 96, Leyu Town Zhangjiagang City, Jiangsu Province, координаты ГЛОНАСС: 31.869670, 120.541883"
"Одноканальное твердотельное реле, напряжение 250В,","КИТАЙ, Shayang Road, Shahe Town, Changping District, Beijing, P. R. China"
Водки и водки особые (объемная доля этилового спирта 40%):,"213633, БЕЛАРУСЬ, Могилевская обл., г. Климовичи, ул. Набережная, д.10"
"Изделия столовые кухонные стеклянные для взрослых: чайник заварочный, турка, торговая марка «NingBo PENZY».","КИТАЙ, Room 708, No.4 Building, xindian Road, Shuimaohuayuan, NingBo"
"Двухмерный беспроводной сканер штрих-кодов, с маркировкой: ИП Ревковская Анастасия Михайловна.","Китай, Shenzhen city, Longhua New Area, Dalang Street,Sanhe Hua Qiao New Village, Zone 2, 62 Building, 303 Room, координаты ГЛОНАСС: 22.656066, 114.014129"
"Изделия трикотажные верхние мужские: брюки, бриджи, шорты, костюмы, комбинезоны, полукомбинезоны, пиджаки, жилеты из пряжи из натуральных волокон животного происхождения, из натуральных волокон растительного происхождения, из синтетических волокон, в том числе из их сочетаний, в том числе в сочетании с эластомерной нитью,","Италия, Statale dei Giovi 251, 20823 Lentate sul Seveso (MB) Italy, 45.697817318153106, 9.101237772209414"
Мебель бытовая с металлическим каркасом:,"Китай, провинция Гуандун, Болоу, Юаньчжоу, Ляовей Синьвей"
Перец свежий,"Китай, ROOM N0.9,THE FIRST FLOOR OF THE APRTMENT A,KAIXUANCHENG FANERSAI GARDEN, THE NORTH DISTRICT, MANZHOULI CITY"
Перезаряжаемый литий-ионный аккумулятор.,"Китай, Workshop No.1, No.2, No.3 (first, fourth and fifth floors) and No.5, No.3 Qingwan three Road, Qingwan Industry Park, Sanzao Town, Jinwan District, Zhuhai City, Guangdong Province, P.R.China, координаты ГЛОНАСС: широта 22.080129 долгота 113.370673"
Продольно-резательная машина с рулонной подачей,"КИТАЙ, No.999 Chengbo Road, Xiangcheng District, Suzhou"
лифт,"ТУРЦИЯ, ANKARA, SINCAN, BASKENT OSB RECEP TAYYIP ERDOGAN BLY. NO 5"
"Инструменты ручные электрифицированные, в том числе аккумуляторные, в наборах и отдельными предметами: Миксер, вибратор, фен, заклёпочник, тепловой пистолет","Китай, No. 33, Xita 5rd Road, Jinhua, Zhejian"
"Кухонные изделия из коррозионностойкой стали для взрослых: чайник, таз, ведро с ручкой, бак, мантоварка, торговая марка «TOP SHINE».","КИТАЙ, 3F NO.113, Qiushi Road, BeiYuan, Yiwu, China, 3220000"
Кабачок свежий,"Китай, ROOM N0.9,THE FIRST FLOOR OF THE APRTMENT A,KAIXUANCHENG FANERSAI GARDEN, THE NORTH DISTRICT, MANZHOULI CITY"
"Лазерный станок для резки металла модели: XQL-3015F-RAYCUS, XQL-1325-180W with CCD, XQL-3015F, X3015PF, X4020AF, X6025HF, X3015GAE, XGF2, XGF5, XQL-JC3000, CO2, CNC.","Китай, No 12, First Floor, No.8, Xinbao Road, Gaoli Community High-Tech zone (Ronggui), Ronggui street, Shunde District, Foshan City, Guangdong province, China"
"Головные уборы швейные летние мужские и женские: кепи (кепки), бейсболки, панамы, шапки, шляпы, береты, козырки, балаклавы, повязки на голову из ткани из натуральных волокон растительного происхождения","Франция, 69 Rue de Monceau 75008, Paris"
Гранат свежий,"Китай, ROOM N0.9,THE FIRST FLOOR OF THE APRTMENT A,KAIXUANCHENG FANERSAI GARDEN, THE NORTH DISTRICT, MANZHOULI CITY"
"Плоды цитрусовых культур свежие: Помело свежее, Грейпфруты свежие маркировка FUJIAN PINGHE GUOXI FRUIT & VEGETABLES CO., LTD","Китай, Dongda Road 1-3#, Pinghe County, Fujian Zhangzhou"
"Овощные культуры свежие: салат Айсберг,","Иран, Исламская Республика, Tehran/shahriar, IRAN, 51.022759°, 35.670677°"
лифт,"ТУРЦИЯ, ANKARA, SINCAN, BASKENT OSB RECEP TAYYIP ERDOGAN BLY. NO 5"
"Инструменты ручные электрифицированные, в том числе аккумуляторные, в наборах и отдельными предметами: Миксер, вибратор, фен, заклёпочник, тепловой пистолет, с маркировкой ""Electric Libang Zhejiang Co., Ltd."", « Made in China»","Китай, No. 33, Xita 5rd Road, Jinhua, Zhejian"
"Переключатели,","Китай, Shanghai, Xuhui District, Caoxi Rd (N), 200030, 31.182042°, 121.431278°"
"Одежда верхняя мужская: брюки, бриджи, капри, шорты, пиджаки, жилеты, костюмы, комбинезоны, полукомбинезоны из ткани из натуральных волокон растительного происхождения, в том числе в сочетании с натуральными волокнами животного происхождения,","Швейцария, Feldstrasse 25, CH-4663 Aarburg, Switzerland"
"Лазерный сварочный станок модель XQL-H2000H-R-RAYCUS
XQL-H3000A, XQL-Q2000X, YAG, XQL-JH3000, XQL-CSHG500, XQL-H5-RAYCUS","Китай, No 12, First Floor, No.8, Xinbao Road, Gaoli Community High-Tech zone (Ronggui), Ronggui street, Shunde District, Foshan City, Guangdong province, China"
"Лифт пассажирский, модель 1 HAS, заводской номер KВ_348, месяц и год изготовления февраль 2023 г., назначенный срок службы 25 лет, номинальная грузоподъемность 450 кг., номинальная скорость движения кабины 1,6 м/с, число остановок 20, высота подъема 58200 мм, адрес установки лифта: Российская Федерация, Краснодарский край, г. Краснодар, ул. им. Мурата Ахеджака, 12, корпус 8","ТУРЦИЯ, KALE MAHALLESI, ANKARA CADDESI 13.KM NO: 77, 16450, KESTEL/BURSA"
Лифт,"212798, БЕЛАРУСЬ, Могилев, г. Могилев, проспект Мира, 42"
"Лифт пассажирский, модель 1 HAS заводской номер KВ_349, месяц и год изготовления февраль 2023 г., назначенный срок службы 25 лет, номинальная грузоподъемность 450 кг., номинальная скорость движения кабины 1,6 м/с, число остановок 20, высота подъема 58200 мм, адрес установки лифта: Российская Федерация, Краснодарский край, г. Краснодар, ул. им. Мурата Ахеджака, 12, корпус 8","ТУРЦИЯ, KALE MAHALLESI, ANKARA CADDESI 13.KM NO: 77, 16450, KESTEL/BURSA"
Изделия кондитерские сахаристые:,"Китай, ROOM 1403, 14 FLOOR, NANFANGDASHA BUILDING, NO. 69 TIANSHAN ROAD, SHANTOU, GUANGDONG, 23.391280, 116.715460"
"Готовые пищевые продукты из риса, полученные путем вздувания или обжаривания из муки и злаков, предварительно подвергнутые тепловой обработке, упакованные в пакеты полимерные, коробки картонные, мешки полимерные, банки полимерные, массой нетто от 20 грамм до 50 кг – палочки рисовые, рис воздушный, рис быстрого приготовления,","Китай, Dianchang Road, Tianjiaan District, Huainan City, Anhui Province, 32.662923°, 117.036624°"
Водки и водки особые (объемная доля этилового спирта 40%):,"213633, БЕЛАРУСЬ, Могилевская обл., г. Климовичи, ул. Набережная, д.10"
Аромат муската СТАР/ Muskat STAR (Смесь компонентов для колбасных и мясных изделий).,"Германия, Rienshof 2, D-49439 Steinfeld-Muhlen, Germany, GLN 4399902452151"
"Фрукты свежие: Ананасы
Упаковка: пластиковая, бумажная, полимерная, картонная, деревянная, комбинированная упаковка массой нетто от 0,050 килограмм до 50 килограмм","ПАНАМА, PANAMA TOCUMEN OFIDEPOSITOS BODEGA #3 PANAMA PANAMA"
Спиртной напиток (текила) (объемная доля этилового спирта 38%):,"МЕКСИКА, Jose Cuervo No. 73, Col. Centro, Tequila Jalisco, 46400, Mexico (Хосе Куэрво 73, Кол. Сентро, Текила Халиско, 46400)"
Замороженный продукт. Мучное кондитерское изделие порционное:,"ИТАЛИЯ, Via della Liberazione, 1-20098 S.Giuliano Milanese (MI), Italy"
Консервы фруктовые пастеризованные: половинки абрикосов в легком сиропе,"ГРЕЦИЯ, 12TH KM LARISSA-CHALKI, LARISSA, 41110, GREECE"
"Средства косметические для ухода за кожей: Гидролаты: Цветочная вода Роза, Цветочная вода Шалфей, Цветочная вода Фенхеля, Цветочная вода Розмарин, Цветочная вода Мята, Цветочная вода Лаванда, Цветочная вода Kewra, Цветочная вода Тимьян, Цветочная вода Орегано.","Пакистан, Plot No 11, Sector A-IV, K.E.P.Z. LANDCHI INDUSTRIAL AREA, EXTENSION MEHRAN HIGWAY, KARACHI, 75150, PAKISTAN, GLN 8960000000009"
Оборудование для промышленности строительных материалов:,"Китай, Liushagou Village, Shushan Street, Luozhuang District, Linyi City, Shandong Province, 34.991402°, 118.286721°"
Продукция косметическая для ухода за волосами,"ИТАЛИЯ, Piazza S. M. degli Angeli a Pizzofalcone, 1- 80132 Napoli (Na)"
"Упаковка стеклянная промышленно-бытового назначения: Стеклянный флакон для ароматизатора воздуха 0,2л, 0,25л, 0,3л, 0,5 л, 1 л, 1,2л, 2 л, 3 л, 5 л,","Испания, Poligono La Costerea Ctra de Palomar, 46869 Atzeneta d'Albaida - Valencia - España, 38.840473°, -0.519477°"
"Портативный светодиодный светильник,","Китай, No. 16, Yangfantian Village, Houzhai Street, Yiwu City, Jinhua City, Zhejiang, China"
"Перeц стручковый сладкий свежий, урожай 2023г","ИРАН, ИСЛАМСКАЯ РЕСПУБЛИКА, No:210, SANAT ST-KANROUD,-ASTARA,IRAN"
"Линия для производства металлических профилей, модели CD 60x27, UD 28x27, UD 300, UD 50/40, CW 50/40-100/50","Китай, 202, Building 7, Phase 2, University Service A rea, Rongjiang New District, Ganzhou, Jiangxi"
"Арматура промышленная трубопроводная, работающая под давлением, 1 и 2 категории","Польша, Kościelna 2, 86-005 Ciele"
"Серводвигатель серии AKM, AKMH, DBL, DBK, Bautz","Соединенные Штаты, Kollmorgen Corporation 203A West Rock Road Radford, VA 24141United States"
"Патронные предохранители, серия SAK, торговой марки Weidmuller","Германия, Klingenbergstrasse 26, 32758 Detmold"
Кокосовая стружка,"ВЬЕТНАМ, Hoa Thanh Hamlet, Binh Ninh Сommune, Cho Gao District, Tien Giang Province"
"Модуль релейного выхода, модель D5096S, торговой марки GMI","Италия, Via G. Mameli, 53-55, I-20852 Villasanta (MB), 45.604786, 9.318855"
"Орехи фисташковые сырые в скорлупе, в том числе с маркировкой «KIAN TEJARAT FAJR NAVID», упакованные в мешки из полимерных материалов, массой нетто 50,0 килограмм.","ИРАН, ИСЛАМСКАЯ РЕСПУБЛИКА, MOHARRAM NEJAD STREET - FIFTH ALLEY, NO. 13, SOHRAB NEJAD PASSAGE, 3RD FLOOR, IRAN_ ASTARA"
"Пылесосы моделей: AdvancedVac 20, GAS 12-25 PL, GAS 15 PS.","Германия, 70538 Stuttgart, GLN 4000001000005"
"Обувь повседневная для взрослых, с верхом из кожи, в том числе с элементами из полимерных материалов:","Германия, Fruhlingstrasse 17, D-63897 Miltenberg, -49.705888, 9.270395"
"Фрукты свежие: авокадо, урожай 2023 года","Турция, Yenigun mah. Mevlana Cad. B Blok No:54/В/203 Muratpasa/ Antalya/ Turkey, 36.898711, 30.717685"
"Обувь повседневная для взрослых с верхом из полимерных материалов, в том числе с элементами из текстильных материалов и кожи:","Германия, Fruhlingstrasse 17, D-63897 Miltenberg, -49.705888, 9.270395"
"Крепленые вина марочные крепкие красные, регион Дору, категория DO:
«МАЙНАРДС ФАЙН РУБИ ПОРТО»,
«МАЙНАРДС ФАЙН ТОНИ ПОРТО». Объемная доля этилового спирта 15% до 22%, массовая концентрация сахаров 85-115 г/дм³.","ПОРТУГАЛИЯ, Rua Candido dos Reis N 575, 4400-075 Vila Nova de Gaia, Porto, Portugal / Руа Кандидо дос Реис N 575, 4400-075 Вила Нова де Гайа, Порту, Португалия"
"Продукция косметическая для макияжа глаз, в то числе и в наборах, с маркировкой ""LABORATOIRE BIOSTHETIQUE"":","ГЕРМАНИЯ, Gulichstrasse 1-5, D-75179 Pforzheim, Germany"
Виски шотландский купажированный,"СОЕДИНЕННОЕ КОРОЛЕВСТВО, Kilmalid, Stirling Road, Dumbarton, G82 2SS, Scotland, UK / Килмалид, Стирлинг Роуд, Думбартон, Джи82 2СС, Шотландия"
Одежда верхняя швейная третьего слоя мужская:,"Нидерланды, Sloterweg 303H, 1171 VC Badhoevedorp"
"Одежда швейная второго слоя для взрослых, в том числе спортивного назначения (не
предназначенная для экипировки спортивных команд), из хлопчатобумажных тканей, в том числе с добавлением эластомерных нитей, в том числе с добавлением синтетических нитей, из хлопчатобумажных тканей с добавлением льняных и синтетических нитей, из смешанных тканей, из чистошерстяных тканей, из шерстяных тканей, из полушерстяных тканей, из смеси искусственных и синтетических нитей с вложение шерстяного и шелкового волокна, из чистольняных тканей, из
льняных тканей, из полульняных тканей,в том числе из смеси искусственных тканей с вложением льняного волокна, из льняных тканей в сочетании с шелковыми волокнами, из тканей из нитей натурального шелка, из шелковых тканей, из полушелковых тканей, из тканей из синтетических нитей, в том числе с вложением металлизированных нитей, из тканей из искусственных нитей, из тканей из
искусственных нитей с добавлением нитей натурального шелка, из тканей из сочетания искусственных и синтетических нитей, из тканей из сочетания синтетических и искусственных нитей, в том числе сочетания синтетических и искусственных нитей, с добавлением шерстяных нитей и вложением
эластомерных нитей, из тканей из сочетания искусственных и хлопчатобумажных нитей, в том числе с вложением эластомерных нитей, из тканей из сочетания синтетических и хлопчатобумажных нитей, из тканей из лубяных волокон (рами), из тканей из лубяных волокон в сочетании с шелковыми нитями, из тканей из лубяных волокон в сочетании с синтетическими нитями, из тканей из сочетания синтетических и хлопчатобумажных нитей, в том числе с вложением шерстяных нитей, из тканей из
искусственных нитей в смеси с льняными нитями, из тканей из искусственных нитей в смеси с синтетическими, шерстяными и шелковыми нитями, из хлопчатобумажных тканей в смеси с синтетическими нитями, из искусственных нитей с вложением полиуретановые нити(синтетика), из синтетических нитей в смеси с искусственными и шерстяными нитями, из сочетания искусственных нитей хлопчатобумажных нитей и синтетических нитей, из тканей из сочетания синтетических, хлопчатобумажных, шерстяных и искусственных нитей, в том числе из тканей типа ""деним"", в том
числе на подкладке из тканей из искусственных нитей, из искусственных нитей с вложением эластомерных нитей, из хлопчатобумажных тканей, из хлопчатобумажных тканей в сочетании с льняными и искусственными нитями, из синтетических тканей, из тканей из сочетания синтетических и искусственных нитей, в том числе с отделкой из меха, искусственного меха, кожи, , в том числе с полиуретановым покрытием, в том числе с элементами из трикотажных полотен, в том числе в комплектах и отдельными предметами: костюмы, комплекты, пиджаки, жакеты, в том числе типа ""блейзеры"", жилеты, брюки, в том числе облегающего типа ""лосины"", брюки в том числе типа ""джинсы"", в том числе укороченные модели ""бриджи"", ""капри"", юбки, шорты, в том числе модель ""бермуды"", комбинезоны, полукомбинезоны, жилеты, блузки, в том числе модели ""поло"", ""топ"", ""туника"", платья, в том числе модель, ""сарафан"", сорочки верхние, рубашки,","Испания, Daniel Del Olmo, Valladolid, 47008, 41.628365, -4.734921"
"Готовые штучные текстильные изделия для детей всех возрастных групп, включая детей до 1 года, из хлопчатобумажных махровых тканей, с товарными знаками «Babyton», «BabyGo», «Futurino», «Jomoto», «Jook», «Orsolini», «Chessford», «Futurino Cool», «COOL FUTURINO», «Перо Сойки», ««е» с тремя точками сверху», ""Futurino Home"", ""Grimmo"", и/или с маркировками ""Fashion"", «Trend», «Day&Night», «Cool», «School», «Day and Night», «D&N», ""Sport"", ""Home"": полотенца, полотенца ""с уголком"", полотенца ""с капюшоном"", в комплектах, наборах и отдельными предметами","Китай, C&D International building 16/F, No.1699, East Huandao Road, Siming District, Xiamen, 361008, P.R.China"
Изделия кожгалантерейные:,"Китай, Room19-11, Park Management Service Center Building,Anchang Town Economic Development Zone,Zheng'an County,Zunyi City,Guizhou Province, China"
"Оборудование металлообрабатывающие: Гидравлические ножницы, подборщик","Китай, ROOM 401, BUILDING37-8 SOUTH TUANJIE ROAD,XI'AN SHAANXI"
"Посуда, изделия для сервировки стола и кухонные принадлежности из пластмасс","КИТАЙ, Ganghu Fvenue, Chihu Industrial Park, Chaisang District, Jiuijiang Citi, Jiangxi Province"
Изделия электроустановочные:,"Китай, No.3 Kaiyuan Road,Third-phase Industrial Zone, Zhuangyuan Longwan District, Wenzhou, Zhejiang, 27.962020°, 120.756185°"
фрукты свежие,"ТУРЦИЯ, ICERENKOY MAH.CAYIR CAD. NO:35 N D:9 ATASEHIR/ ISTANBUL"
"Мебель бытовая для сидения и лежания, обитая и жесткая, из древесных материалов, из металла, из бамбука, из ротанга, из тростника, из пластмассы, с элементами отделки из текстильных материалов, натуральной кожи, искусственной кожи, полимерных материалов, дерева,в том числе вращающиеся, с приспособлением, регулирующим высоту, в наборах и отдельными предметами для взрослых: диваны, диван-кровати, кушетки, кресла, кресла-кровати, кресла-качалки, пуфы, стулья, в том числе с подлокотниками, табуреты, банкетки, скамьи, шезлонги, оттоманки.","Италия, 31028 ITALY, TEZZE DI PIAVE (TV), VIA PIAVE, 25, 45°48'42.9""N , 12°20'57.9""E"
"Компоненты транспортных средств:
Регулятор давления, артикулы: DCRS300260.
Датчик кондиционера, артикулы: DPS32002.","ЯПОНИЯ, 1-1, Showa-cho, Kariya-city, Aichi 448-8661"
Электрические приборы бытового назначения для поддержания и регулировки микроклимата в помещениях: Увлажнитель воздуха.,"Китай, #52, WESTERN PORT ROAD, SHUNDE LELIU, FOSHAN CITY, GUANGDONG, CHINA, 22.861813°, 113.121738°"
Кормовая добавка,"БЕЛЬГИЯ, 9000, Gent, Langerbruggekaai, 1"
"Посуда керамическая для взрослых: Сервиз столовый из керамики состоит из кружек, обеденных тарелок, мисок и десертных тарелок: Форма для запекания","Китай, Room 401, Union Group Building, 529# North Zongze Road, Yiwu, China 322000"
"Прибор электронагревательный бытового назначения: Сушилка для обуви электрическая, предназначена для внутренней просушки обуви, напряжение 220 В, мощность 14 ВТ.","Китай, Workshop 1, Zone B, No. 2, 2nd Lane, Duobao Road, Duobao Community Neighborhood Committee, Minzhong Town, Zhongshan, Guangdong, China, 22.604918°, 113.471822°"
"Силовые модули питания для промышленных источников бесперебойного питания
серий Excelente VL/VM/VS","Китай, этаж 2, корпус 1, долина ЭВОК, 11, проспект Гаосинь, район Гуанмин, Шэньчжэнь"
Упаковка для парфюмерно-косметической продукции,"КИТАЙ, Room 406, Building 1, Hezheng Street, Huangshi Street, Guangzhou, Guangdong, China"
"Материалы текстильные нетканные, на бытовые цели (для уборки и чистки помещений) : из целлюлозных нитей в смеси с синтетическими, из синтетических тканей.","Китай, Rm.31006, Tower C, Galaxy Soho Beijing, CN, 100010"
"Оборудование газоочистительное и пылеулавливающее: фильтры воздушные, масляные, гидравлические,","Финляндия, Ahmolantie 6, 74510 Iisalmi, 63.928924°, 27.424620°"
"Камера для рыбалки подводная зимняя/летняя водонепроницаемая, торговой марки «Fishing Hero»","КИТАЙ, Shen'chzhen' Guandun"
фрукты свежие,"ТУРЦИЯ, ICERENKOY MAH.CAYIR CAD. NO:35 N D:9 ATASEHIR/ ISTANBUL"
Пищевые добавки:,"КИТАЙ, 2299 Xinggong Road, Economic Development Zone, Pinghu 314200, Zhejiang Province, P.R. China /, 2299, Сингун Роад, Экономическая зона развития, Пинху 314200, Провинция Чжецзян"
"Компоненты, поставляемые в качестве сменных (запасных) частей для послепродажного технического обслуживания и ремонта автотранспортных средств:","Китай, NO.199 Luotang West Road, Jiangyan, Taizhou City, Jiangsu Province, China, координаты ?, 40.128429°, 116.169106°"
"Светильники общего назначения, переносные (настольные напольные), предназначенные для использования с лампами накаливания,","Италия, Via Rambolina, 29 36061 Bassano del Grappa Vicenza, 45.741994°, 11.724173°"
"Компоненты, поставляемые в качестве сменных (запасных) частей для транспортных средств:","Китай, No. 006, Area 11, Wanxing Hardware City, Tongji New District, Jimo District, Qingdao City, Shandong Province, China, 36.388450, 120.445270"
Оборудование технологическое для пищевой промышленности:,"Турция, Akcaburgaz Mah. 3028 Sokak. No:1/9. Esenyurt / ISTANBUL - TURKEY, 41.007498, 29.094889"
Средства косметические для ухода за волосами:,"КИТАЙ, Guangdong Province, Dongguan City, Rongxing Street, 26"
Электрические приборы бытового назначения для ухода за волосами,"Соединенные Штаты, 89 A Street, Suite 100 Needham, MA 02494"
"Томатная паста консервированная, торговой марки ""1&1""","ИРАН, ИСЛАМСКАЯ РЕСПУБЛИКА, 145 th km of shiraz - esfahan road, shiraz, iran"
"Удлинители электрические бытовые,","Китай, 3 FLOOR, LI JING GE 3, NO.6012 SHEN NAN ROAD, SHENZHEN, 518034, CHINA, 22°32' 33.90""N, 114°2'17.55""E"
"Оборудование для сварки: сварочные аппараты, типы MIG, TIG, CUT, торговая марка «WIEDEKRAFT»","Китай, 1902 Wanli Bidg, 398 South Jianghong Road, Hangzhou, 310052, China, 30.191920°, 120.202720°"
"Мебель для спальни, обеденной зоны, кухни, гостиной, наборы и отдельные предметы бытовой мебели для взрослых из деревянного, металлического, пластмассового каркасе в том числе из бамбука, ротанга, с обивкой из текстильных материалов, искусственной кожи, натуральной кожи, элементами из пластика, керамики, стекла, камня:","Турция, K.S.S. Agas Isleri Bolumu 17.Sk. No. 01/C No.9, 16400 Inegol/Bursa"
